"","GSM7021440","GSM7021441","GSM7021442","GSM7021443","GSM7021444","GSM7021445","GSM7021446","GSM7021447","GSM7021448","GSM7021449","GSM7021450","GSM7021451","GSM7021452","GSM7021453","GSM7021454","GSM7021455","GSM7021456","GSM7021457"
"100287102",0,2,3,1,1,1,2,1,0,1,3,1,1,3,1,1,1,1
"653635",6,20,21,11,22,22,13,22,6,15,10,10,21,27,15,21,10,13
"107985730",0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"645520",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"100996442",3,3,4,3,3,1,4,3,2,5,0,4,3,4,2,6,1,3
"729737",7,17,4,0,10,6,6,22,8,3,3,1,4,9,3,4,1,2
"102725121",0,0,3,0,0,0,1,1,0,0,3,0,0,2,0,0,0,0
"102723897",7,46,13,11,33,44,15,34,18,31,13,14,29,27,29,44,36,31
"107985721",1,2,3,1,3,1,1,1,1,1,0,0,0,2,0,1,2,1
"112268260",1,1,2,3,0,0,1,4,1,5,0,3,2,1,1,1,2,1
"100132287",3,5,2,0,3,4,5,4,1,4,3,0,4,6,3,3,1,3
"101928626",0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0
"113219467",845,1834,1392,450,1415,1281,1591,1379,2486,2506,3286,2028,2999,3271,4319,1558,2636,1030
"81399",0,1,1,0,0,1,3,1,0,0,1,0,0,0,2,0,1,1
"100133331",2,4,2,0,3,4,4,4,2,3,4,1,4,6,2,4,1,3
"107984841",0,1,1,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0
"107984847",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"100288069",3,3,0,1,1,0,1,1,1,3,0,1,0,0,0,2,2,1
"105378580",6,19,7,4,17,13,16,7,11,11,8,15,14,32,21,18,18,17
"400728",2,4,5,6,6,8,7,7,3,4,3,1,12,6,4,4,1,2
"79854",5,30,2,2,6,15,2,10,8,23,2,8,29,28,8,10,4,17
"643837",27,28,30,20,24,18,64,51,17,22,26,14,60,68,46,41,89,28
"107984850",0,0,4,1,0,3,2,5,3,0,0,9,0,0,0,4,1,1
"284593",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"284600",1,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,1,5
"100130417",2,5,0,0,6,4,4,7,2,0,0,0,1,4,7,0,1,3
"107985728",3,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0
"148398",42,54,11,15,24,24,140,85,26,19,5,13,51,37,80,49,66,25
"26155",32,54,14,16,21,28,115,89,22,20,5,12,50,33,60,43,62,27
"339451",5,5,6,15,22,17,10,21,4,1,2,5,10,9,6,10,0,18
"84069",1,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"84808",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"57801",7,35,1,6,23,23,4,19,9,47,19,7,25,36,11,12,1,4
"9636",85,98,9,4,35,49,22,29,14,7,10,10,23,34,52,58,13,17
"375790",19,93,42,35,83,89,46,94,17,43,37,66,122,151,117,117,111,75
"100288175",1,1,1,0,0,3,0,1,0,0,1,0,1,3,1,0,1,0
"112267874",1,0,1,0,1,1,0,0,0,0,0,0,3,2,1,0,0,0
"105378948",2,1,2,0,1,4,0,1,0,0,1,0,4,6,1,0,1,0
"54991",8,1,7,10,11,7,12,16,7,19,3,12,22,32,7,22,14,3
"100506376",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
"8784",0,3,0,0,0,0,0,2,3,0,0,0,1,2,0,0,10,0
"7293",0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1
"51150",160,301,137,101,247,294,254,359,121,235,165,123,338,450,388,438,321,217
"126792",8,44,16,21,50,67,48,79,12,21,14,14,74,69,56,69,54,56
"388581",0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
"118424",23,77,44,40,116,92,84,131,32,63,26,44,123,156,118,133,86,107
"101928895",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"6339",4,32,30,29,58,29,14,28,6,28,23,18,28,13,10,37,8,30
"116983",22,42,52,62,49,59,44,62,35,92,28,49,65,76,65,94,37,51
