,GSM7021440,GSM7021441,GSM7021442,GSM7021443,GSM7021444,GSM7021445,GSM7021446,GSM7021447,GSM7021448,GSM7021449,GSM7021450,GSM7021451,GSM7021452,GSM7021453,GSM7021454,GSM7021455,GSM7021456,GSM7021457
A1BG,16.0905819576582,46.3237002143107,21.4291887063816,10.3645646862394,35.3375907058714,52.0737462977528,16.3343302818197,28.1765185489746,12.9417943125431,48.9362341246701,54.0479425258555,15.8983766180275,57.2663089098802,63.7857344231091,20.2416924119107,29.9130009046059,20.0204120054834,60.0137456953353
A1BG-AS1,2.6817636596097,4.50369307639132,21.4291887063816,15.546847029359,10.0964544873918,2.44095685770716,6.80597095075822,3.18121983617455,2.15696571875718,2.33029686307953,21.1491949014217,11.9237824635206,2.83496578761783,4.52381095199355,8.2231875423387,2.93264714751039,1.1776712944402,1.60036655187561
A2M-AS1,64.3623278306327,82.99662955064,128.575132238289,23.3202705440385,123.17674474618,113.097667740432,126.591059684103,157.697611878939,252.36498909459,99.0376166808799,202.092306835808,73.529991858377,89.0179257311998,117.166703656633,85.3946398627481,78.0084141237762,127.188499799542,55.2126460397085
A2ML1,8.04529097882909,1.28676945039752,23.2149544319134,2.59114117155984,11.106099936131,4.88191371541432,3.40298547537911,4.09013978936728,10.7848285937859,4.66059372615906,0,3.97459415450687,3.96895210266496,5.88095423759162,4.42787021510545,5.86529429502077,13.5432198860623,3.20073310375122
A2MP1,0,1.93015417559628,10.7145943531908,0,0,5.69556600131671,2.72238838030329,4.54459976596365,4.31393143751437,2.33029686307953,0,13.911079540774,3.40195894514139,1.35714328559807,7.59063465446649,0,0,3.20073310375122
A4GALT,18.7723456172679,12.8676945039752,8.92882862765899,7.77342351467952,3.02893634621755,4.06826142951194,10.2089564261373,4.54459976596365,4.31393143751437,4.66059372615906,16.4493738122169,3.97459415450687,6.80391789028279,1.80952438079742,1.89765866361662,1.17305885900415,7.65486341386131,5.60128293156463
AAAS,16.0905819576582,31.5258515347392,37.5010802361677,25.9114117155984,42.4051088470457,21.9686117193645,25.1820925178054,18.1783990638546,19.4126914688146,33.7893045146532,32.8987476244338,39.7459415450687,36.2875620815082,29.4047711879581,33.525303057227,49.8550015076765,29.4417823610051,38.4087972450146
AADACL2,0,0,5.35729717659539,0,4.03858179495673,0.813652285902387,4.76417966553076,0,0,0,0,0,0,0,0,0,2.94417823610051,0
AADAT,12.0679364682436,18.658157030764,32.1437830595723,132.148199749552,14.1350362823486,9.76382743082865,18.3761215670472,16.3605591574691,21.5696571875718,15.1469296100169,28.198926535229,39.7459415450687,17.009794725707,14.4761950463794,13.9161635331886,26.3938243275935,2.3553425888804,23.2053150021963
AAGAB,52.2943913623891,48.253854389907,66.0733318446765,51.8228234311968,27.2604271159579,32.5460914360955,46.2806024651559,50.8995173787929,77.6507658752586,40.7801951038917,46.9982108920483,35.7713473905618,40.8235073416967,58.3571612807168,67.050606114454,62.1721195272202,61.2389073108905,43.2098969006414
AAMDC,30.8402820855115,39.2464682371243,30.3580173340406,95.872223347714,57.5497905781334,49.6327894400456,22.4597041375021,29.9943584553601,36.6684172188721,48.9362341246701,35.2486581690362,13.911079540774,34.0195894514139,28.04762790236,27.8323270663771,39.8840012061412,35.9189744804262,48.8111798322061
AAMP,99.2252554055588,88.14370735223,30.3580173340406,44.0493999165173,64.6173087193077,102.520188023701,111.617923592435,88.1652354596948,43.1393143751436,41.9453435354315,79.8969585164821,27.8221590815481,102.625761511765,119.880990227829,106.268885162531,123.757709624938,40.0408240109669,72.0164948344024
AANAT,1.34088182980485,1.93015417559628,1.7857657255318,2.59114117155984,0,5.69556600131671,1.36119419015164,0.454459976596365,2.15696571875718,0,2.34991054460242,0,3.40195894514139,0,0,0,0,0.800183275937804
AAR2,29.4994002557067,63.0517030694784,35.7153145106359,49.2316822596369,74.7137632066995,56.1420077272647,31.9880634685636,42.2647778234619,47.453245812658,25.6332654938748,11.7495527230121,17.8856736952809,49.3284047045502,33.9285821399516,82.231875423387,64.5182372452285,25.9087684776844,80.8185108697182
AARD,0,1.28676945039752,0,0,4.03858179495673,0,0,1.81783990638546,2.15696571875718,2.33029686307953,2.34991054460242,0,3.40195894514139,0.90476219039871,0,1.75958828850623,1.7665069416603,0
AARS1,407.628076260674,432.997920058765,291.079813261683,329.074928788099,440.205415650284,416.589970382022,328.047799826546,319.485363547244,269.620714844648,369.352052798105,183.293022478988,252.386728811186,285.764551391877,270.071513834015,392.182790480769,449.868072428093,254.376999599084,282.464696406045
AASDHPPT,146.156119448728,147.978486795715,148.218555219139,171.015317322949,110.051353912571,105.77479716731,149.731360916681,151.789632183186,97.0634573440732,151.469296100169,140.994632676145,228.539163884145,155.356125161457,149.738142510987,109.431649601892,162.468651972075,148.975418746686,186.442703293508
AATK,69.7258551498521,351.931444683721,355.367379380828,334.257211131219,468.475488214981,617.562084999912,115.70150616289,262.677866472699,107.848285937859,556.940950276007,690.87370011311,451.116436536529,298.805394014919,292.690568593983,292.23943419696,605.298371246143,59.4724003692302,483.310698666434
