,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AATK,356.349726452626,-1.0452870161572,0.324635233870849,-3.21988159970661,0.00128243551634871,0.0177112798450011
ABCA8,244.254989083328,-1.01278911116505,0.247512639181999,-4.09186825574725,4.27911746052005e-05,0.00244979474614773
ADAMTS9-AS1,39.7249738533329,1.40307786084389,0.334279730380939,4.19731659842182,2.70096228045464e-05,0.00180990903662937
ADAMTSL4,5.58147880678386,2.0228964229347,0.699684616945329,2.89115463444977,0.00383829208849625,0.0359958687575453
ADAP1,130.076907272946,-1.01810074973584,0.32840959519983,-3.10009440837546,0.00193458968653136,0.0232032943279833
ADGB,16.6324971462572,2.50467873801976,0.694065821561344,3.60870490983886,0.000307729401127042,0.00710425298557845
ADGRA3,70.397354448502,1.03537007743263,0.329858698524048,3.13882908671315,0.00169624351174486,0.0214285249735018
AEBP1,185.149663028794,1.28483005125212,0.317129338283563,4.05143862818294,5.09036787648228e-05,0.0026243378261634
AGBL4,11.9816335223573,1.62240487987068,0.565904321548824,2.86692435115237,0.00414482074488329,0.0380756817646916
AGPAT4,352.415764872408,-1.00045826145747,0.29880007794521,-3.34825301364519,0.000813227310049977,0.0133242085225659
AIF1L,276.709819290994,-1.13500347613474,0.262242502428671,-4.32806835514184,1.50422789143757e-05,0.00145003585202485
AK7,30.8583790082091,1.37661393806389,0.371454570416448,3.70600888426418,0.000210550916382846,0.00566386214315059
AKR1C2,15.6883399827023,1.34186476866764,0.406332955521821,3.3023773987133,0.000958689871029331,0.0147965817555264
AKR1C3,28.1440804374529,1.54294431007426,0.319338495047821,4.8316890509652,1.35379581233818e-06,0.000390399679381253
ALDH8A1,14.7081595059741,-1.43064111930265,0.429993990767245,-3.32711886682401,0.000877489342093725,0.0139941637884342
ALPK3,15.7326605038239,1.42698954844801,0.466572033937768,3.05845495368535,0.00222481525032029,0.0254150298954802
AMIGO2,11.3808828692284,1.39468696688544,0.506635952761773,2.75283852099862,0.00590810296838432,0.0479620626057242
ANKRD45,13.8605400270133,1.00751154741451,0.364190224471723,2.76644313799461,0.00566714671145292,0.0469356268634665
ANKRD66,7.71404106144393,5.04528262845484,0.86405110699731,5.83910209430534,5.24829026693477e-09,1.03359828517013e-05
ANLN,1354.87142217763,-1.09575574427343,0.268714980818007,-4.07776202479591,4.54712722249574e-05,0.00253047893905236
ANO4,110.424178237539,-1.02843141214699,0.260214242631574,-3.95224873837172,7.7420203232806e-05,0.00324407123929124
ANTXR2,22.981791430603,1.15461579430893,0.359556929819424,3.2112183038408,0.00132173485231791,0.0179766893518985
ANXA2,124.785588305617,1.15120269996182,0.253498288393796,4.54126419257511,5.59179061365513e-06,0.000809740620186207
AOX3P-AOX2P,14.7188282812435,-2.04962729654592,0.722699126453849,-2.83607274662564,0.00456720416503291,0.0406228539091181
APOBEC3F,20.1302282789565,1.07081598364528,0.284781056145081,3.76013769363841,0.000169819859348445,0.0050982199847687
ARMC2,52.4005019835261,1.14139869946898,0.337176540357327,3.3851664124063,0.000711351143833461,0.0122783494124841
ARMC3,88.1609145567626,1.26185734659819,0.339760703218966,3.71395907367474,0.000204041806395025,0.00553516448128087
ASPA,456.346252208407,-1.02728298595208,0.228245887147046,-4.50077326164594,6.77066998163252e-06,0.000888943830788472
AXDND1,7.6398692527605,2.16845154814734,0.710996718976056,3.04987560458822,0.00228936167572257,0.0259118901388967
BANK1,19.1653804447525,1.31533332586275,0.439533034965371,2.99256988946548,0.00276639317954243,0.0290775279394283
BATF2,5.08529559557899,2.33156033576696,0.72162823997515,3.23097158149915,0.00123370205298084,0.0173052195380375
BBC3,26.2440934907596,1.14163167382057,0.406564548177818,2.80799612001896,0.00498508274222599,0.0430975502745385
BCAS1,7743.45428446863,-1.32161302818267,0.272579726013673,-4.84853751785037,1.24375010365725e-06,0.000390399679381253
BICC1,24.6522218504792,1.25789011285596,0.316620099596659,3.97286879278473,7.1012169338464e-05,0.00311049456998673
BMP8A,57.12689466298,-1.13538729382258,0.365263505086983,-3.10840606304809,0.00188099431404692,0.0227824735675523
BTBD3,104.443828332955,-1.01551285855369,0.240764339892209,-4.21787071544039,2.46620146301389e-05,0.00180294317020007
C10orf67,9.27154093050575,1.45557242784589,0.511184245797946,2.84745165722738,0.00440707871233529,0.0396315105756763
C10orf90,169.889760031044,-1.14987246384037,0.273182046534246,-4.20918020941842,2.56298913109239e-05,0.00180990903662937
C1QTNF5,14.4817764989505,1.20157718305949,0.434391662521718,2.76611474558267,0.00567285699315038,0.0469356268634665
C1RL-AS1,14.2644866293567,1.88196436415457,0.510805578359348,3.68430660095615,0.00022932606936623,0.00604437221616049
C1S,74.0550047303336,1.1173400554009,0.324168669107164,3.44678607737853,0.000567297590942979,0.010634120044681
C2orf50,36.7470105695006,1.30754844384344,0.335084307513607,3.90214765217061,9.53429665159813e-05,0.00352821515888663
C9orf24,87.028077105228,1.07299285397767,0.389032071531379,2.75810899022789,0.00581368105833857,0.047508147204531
C9orf47,24.6926368328617,1.41083106099829,0.351907668628361,4.00909439256416,6.09520503778506e-05,0.00285807066700331
